x,y,z
0.296,-0.657,-0.428
0.047,-1.018,-0.845
0.305,-0.871,-0.739
0.598,-0.818,-0.147
0.334,-0.748,-0.416
0.044,-0.695,-0.507
0.267,-0.821,-0.716
0.408,-0.792,-0.76
0.434,-0.768,-0.762
0.402,-0.748,-0.27
0.393,-0.71,-0.478
0.496,-0.639,-0.739
0.387,-0.71,-0.449
0.317,-0.601,-0.446
-0.029,-0.651,-0.372
0.962,-0.798,-0.504
0.947,-0.346,-0.026
0.264,-0.308,-0.601
1.012,-0.818,-0.751
0.718,-0.522,-0.537
0.683,-0.592,-0.147
0.575,-0.472,-0.27
0.481,-0.472,-0.15
0.739,-0.408,-0.246
0.833,-0.484,-0.519
0.968,-0.548,-0.601
0.789,-0.642,-0.46
0.762,-0.548,-0.607
0.721,-0.437,-0.452
0.63,-0.493,-0.39
0.765,-0.481,-0.202
0.768,-0.411,-0.349
0.531,-0.85,-0.906
0.434,-0.466,-0.633
0.317,-0.501,-1.041
0.273,-0.457,-0.988
0.428,-0.648,-1.147
0.364,-0.657,-0.944
0.255,-0.592,-0.721
0.094,-0.525,-0.692
0.164,-0.501,-0.56
0.622,-0.267,-0.868
0.337,-0.223,-0.933
0.07,-0.437,-0.88
-0.114,-0.51,-0.704
-0.065,-0.513,-0.516
-0.088,-0.557,-0.674
-0.026,-0.54,-0.906
0.191,-0.217,-0.836
0.191,-0.537,-1.135
-0.141,-0.466,-0.959
-0.223,-0.663,-0.994
0.425,-0.891,-1.135
-0.109,-0.762,-0.877
-0.185,-0.633,-0.748
-0.053,-0.683,-0.501
0.305,-0.71,-0.833
0.273,-0.592,-0.543
0.176,-0.592,-0.293
-0.097,-0.478,-0.801
0.079,-0.554,-0.912
0.0,-0.848,-1.34
0.155,-0.657,-1.223
0.073,-0.713,-0.859
-0.097,-0.522,-0.801
-0.22,-0.378,-1.15
-0.367,-0.182,0.619
1.17,-0.044,-0.446
1.475,0.229,1.314
0.059,-0.51,1.326
